time real imag
0 0.0 0.0
1 0.11055481920136881 0.11055481920136881
2 0.21975424244305955 0.21975424244305955
3 0.32625949084478323 0.32625949084478323
4 0.4287648159605561 0.4287648159605561
5 0.5260135081823207 0.5260135081823207
6 0.6168133039301308 0.6168133039301308
7 0.7000510027376002 0.7000510027376002
8 0.7747061150279606 0.7747061150279606
9 0.8398633732597455 0.8398633732597455
10 0.8947239530561525 0.8947239530561525
11 0.9386152667476544 0.9386152667476544
12 0.9709992092595725 0.9709992092595725
13 0.9914787552504867 0.9914787552504867
14 0.9998028266209285 0.9998028266209285
15 0.9958693707169742 0.9958693707169742
16 0.9797266114901286 0.9797266114901286
17 0.951572458274351 0.951572458274351
18 0.9117520794285828 0.9117520794285828
19 0.860753670591787 0.860753670591787
20 0.7992024694314545 0.7992024694314545
21 0.7278530902644348 0.7278530902644348
22 0.6475802725272095 0.6475802725272095
23 0.559368156518854 0.559368156518854
24 0.4642982178954813 0.4642982178954813
25 0.3635360088386054 0.3635360088386054
26 0.25831686844995416 0.25831686844995416
27 0.14993077756251028 0.14993077756251028
28 0.03970654364694999 0.03970654364694999
29 -0.07100449029434079 -0.07100449029434079
30 -0.180845013117625 -0.180845013117625
31 -0.2884683860972552 -0.2884683860972552
32 -0.39255515264185614 -0.39255515264185614
33 -0.4918292147590503 -0.4918292147590503
34 -0.5850734779461604 -0.5850734779461604
35 -0.6711447727013956 -0.6711447727013956
36 -0.7489878697186237 -0.7489878697186237
37 -0.8176484169402124 -0.8176484169402124
38 -0.8762846398603936 -0.8762846398603936
39 -0.9241776616340802 -0.9241776616340802
40 -0.9607403164671635 -0.9607403164671635
41 -0.9855243482366284 -0.9855243482366284
42 -0.9982259060857909 -0.9982259060857909
43 -0.998689269618971 -0.998689269618971
44 -0.9869087580249181 -0.9869087580249181
45 -0.9630287997232421 -0.9630287997232421
46 -0.9273421616799895 -0.9273421616799895
47 -0.8802863601008553 -0.8802863601008553
48 -0.8224382965067365 -0.8224382965067365
49 -0.7545071849530409 -0.7545071849530409
50 -0.6773258571046518 -0.6773258571046518
51 -0.591840551765847 -0.591840551765847
52 -0.4990993140449727 -0.4990993140449727
53 -0.40023914637946706 -0.40023914637946706
54 -0.2964720689489541 -0.2964720689489541
55 -0.18907026037498115 -0.18907026037498115
56 -0.07935046088158243 -0.07935046088158243
57 0.03134217086693119 0.03134217086693119
58 0.14165054933668722 0.14165054933668722
59 0.2502222999177266 0.2502222999177266
60 0.35572633896181177 0.35572633896181177
61 0.45686919279422733 0.45686919279422733
62 0.5524108556293805 0.5524108556293805
63 0.641179991973051 0.641179991973051
64 0.7220882971306674 0.7220882971306674
65 0.7941438397625811 0.7941438397625811
66 0.856463222907346 0.856463222907346
67 0.9082824143795338 0.9082824143795338
68 0.9489661137620073 0.9489661137620073
69 0.9780155411538437 0.9780155411538437
70 0.9950745521842933 0.9950745521842933
71 0.9999340043230366 0.9999340043230366
72 0.992534320956022 0.992534320956022
73 0.9729662217914542 0.9729662217914542
74 0.9414696106411955 0.9414696106411955
75 0.8984306342133236 0.8984306342133236
76 0.8443769479748762 0.8443769479748762
77 0.7799712471250533 0.7799712471250533
78 0.7060031419887862 0.7060031419887862
79 0.6233794774378835 0.6233794774378835
80 0.5331132150231427 0.5331132150231427
81 0.4363110141218365 0.4363110141218365
82 0.33415966435505706 0.33415966435505706
83 0.22791153561268687 0.22791153561268687
84 0.11886922406793148 0.11886922406793148
85 0.008369582420376349 0.008369582420376349
86 -0.10223266984405567 -0.10223266984405567
87 -0.21158155523895722 -0.21158155523895722
88 -0.3183364624863232 -0.3183364624863232
89 -0.42118858233654777 -0.42118858233654777
90 -0.5188769534973416 -0.5188769534973416
91 -0.610203921949317 -0.610203921949317
92 -0.6940498241179373 -0.6940498241179373
93 -0.7693867138869158 -0.7693867138869158
94 -0.8352909651606607 -0.8352909651606607
95 -0.8909545954690536 -0.8909545954690536
96 -0.9356951717877703 -0.9356951717877703
97 -0.9689641771293654 -0.9689641771293654
98 -0.99035373533115 -0.99035373533115
99 -0.9996016115943578 -0.9996016115943578
