freq real imag
0.0 1.354472090042691e-14 2.860478746963952e-14
1.75 1.0048385723763085 -2.4369395390522186e-14
3.5 8.104628079763643e-15 3.1002977962657496e-14
5.25 1.0449972298793917 -4.268807529683727e-14
7.0 -3.3084646133829665e-14 2.042810365310288e-14
8.75 1.1338880696327367 7.105427357601002e-15
10.5 4.218847493575595e-15 -5.10702591327572e-15
12.25 1.2936435667199717 -1.5210055437364645e-14
14.0 -5.440092820663267e-15 2.19824158875781e-14
15.75 1.5763092469025128 -2.2870594307278225e-14
17.5 -3.26405569239796e-14 1.4876988529977098e-14
19.25 2.121355371980719 9.43689570931383e-15
21.0 -4.385380947269368e-15 -1.5765166949677223e-14
22.75 3.4448941964766635 -2.7755575615628914e-15
24.5 1.2573275753879898e-14 1.6653345369377348e-14
26.25 10.202297237378321 -8.104628079763643e-15
28.0 -2.4072356351521213e-14 -15.999999999999973
29.75 -10.20229723737828 1.4876988529977098e-14
31.5 -7.244205235679146e-15 -2.220446049250313e-16
33.25 -3.444894196476655 -2.1538326677728037e-14
35.0 -2.8033131371785203e-14 2.042810365310288e-14
36.75 -2.1213553719806635 1.6653345369377348e-15
38.5 -3.9190872769268026e-14 -5.995204332975845e-15
40.25 -1.576309246902483 2.6201263381153694e-14
42.0 -3.9968028886505635e-15 -1.7763568394002505e-15
43.75 -1.2936435667199502 -1.1435297153639112e-14
45.5 -2.55351295663786e-14 -2.120525977034049e-14
47.25 -1.1338880696326883 7.327471962526033e-15
49.0 -4.196643033083092e-14 -8.1601392309949e-15
50.75 -1.0449972298793417 1.0547118733938987e-14
52.5 -5.051514762044462e-14 -1.1574075031717257e-14
54.25 -1.00483857237622 8.588962874256367e-14
56.0 1.3322676295501878e-14 -1.2450824941688214e-13
57.75 -1.004838572376418 6.686318165805005e-14
59.5 3.985700658404312e-14 -1.4516166046973922e-14
61.25 -1.0449972298794186 -1.3322676295501878e-15
63.0 5.229150445984487e-14 3.83026943495679e-15
64.75 -1.133888069632735 2.3314683517128287e-15
66.5 1.9539925233402755e-14 -4.440892098500626e-15
68.25 -1.2936435667199824 -1.0880185641326534e-14
70.0 1.1324274851176597e-14 -7.549516567451064e-15
71.75 -1.5763092469025302 -2.7755575615628914e-15
73.5 2.3869795029440866e-14 4.440892098500626e-16
75.25 -2.1213553719807305 -7.216449660063518e-15
77.0 3.36952687973735e-14 3.375077994860476e-14
78.75 -3.444894196476679 -3.319566843629218e-14
80.5 1.7208456881689926e-14 4.796163466380676e-14
82.25 -10.20229723737835 -1.2545520178264269e-14
84.0 -1.0239532794399691e-13 16.00000000000003
85.75 10.202297237378408 9.414691248821327e-14
87.5 -9.325873406851315e-15 -1.3211653993039363e-14
89.25 3.444894196476655 9.103828801926284e-15
91.0 2.398081733190338e-14 -4.440892098500626e-16
92.75 2.121355371980688 1.021405182655144e-14
94.5 4.141131881851834e-14 4.884981308350689e-15
96.25 1.576309246902479 -1.6653345369377348e-15
98.0 -1.1657341758564144e-14 1.5432100042289676e-14
99.75 1.2936435667199735 1.4432899320127035e-14
101.5 -2.0761170560490427e-14 8.548717289613705e-15
103.25 1.1338880696326912 2.531308496145357e-14
105.0 4.8627768478581856e-14 3.902433931557425e-14
106.75 1.0449972298793364 -4.807265696626928e-14
108.5 3.6637359812630166e-15 1.9789725413943415e-14
110.25 1.0048385723762885 1.1421419365831298e-14
