freq real imag
0.0 2.860478746963952e-14 2.860478746963952e-14
0.875 -1.1436360753210106e-14 -2.311428106585031e-14
1.75 3.011156129619464e-14 2.0697218156883424e-14
2.625 -2.1290186907716414e-14 -5.341565709794849e-14
3.5 -1.8117471517783216e-14 4.97067076074059e-14
4.375 2.9471473389087674e-14 -1.4233184733235348e-14
5.25 -2.319131576960077e-15 -8.438420404959777e-15
6.125 -2.2959353300970053e-14 -1.1391064663387227e-14
7.0 1.2236967857800575e-14 3.352638388750747e-14
7.875 3.0315469339800844e-15 -3.6606412645356154e-14
8.75 -1.8370460498715767e-14 3.1666337757986974e-14
9.625 2.4640793109041055e-14 -1.5413715834699357e-14
10.5 -1.9793869012199918e-14 1.1507453919217725e-15
11.375 3.6254855725835554e-15 8.158194299240627e-15
12.25 1.180857680445754e-14 1.5438135918590883e-15
13.125 -1.7365707249547646e-14 -1.1344658532268107e-14
14.0 1.9539925233402506e-14 3.411693602707569e-14
14.875 1.0223720779318852e-14 -4.2927276856543137e-14
15.75 -1.1596595388744607e-14 2.07408693188681e-14
16.625 1.6844847585750104e-15 -3.5388139052761935e-14
17.5 -2.3114571088064285e-14 3.9546842487308954e-14
18.375 2.6889109826721242e-14 -3.1384728004042106e-14
19.25 -4.190226178472977e-14 2.947605837971534e-14
20.125 4.209096502676221e-14 -1.0541520220157286e-16
21.0 -1.221010181470444e-14 2.7061990143433903e-15
21.875 1.85864161088156e-14 -2.803823379018105e-14
22.75 -3.827030290907297e-14 2.3639293123517318e-14
23.625 3.5175233254953686e-14 -1.5469739343759435e-14
24.5 -4.103797165211118e-14 2.733506681260739e-14
25.375 5.510994103150513e-14 -2.0327839307172435e-14
26.25 -6.433090180002368e-14 4.6895303991894934e-14
27.125 1.7784849147021582e-13 -2.4323901219947196e-14
28.0 -1.6554753476232296e-13 -1.6554753476232407e-13
28.875 -2.4323901219947622e-14 1.7784849147021575e-13
29.75 4.68953039918955e-14 -6.433090180002334e-14
30.625 -2.0327839307173325e-14 5.510994103150488e-14
31.5 2.7335066812608006e-14 -4.1037971652110984e-14
32.375 -1.546973934375935e-14 3.51752332549536e-14
33.25 2.3639293123517015e-14 -3.827030290907278e-14
34.125 -2.803823379018154e-14 1.8586416108815395e-14
35.0 2.706199014343536e-15 -1.2210101814704487e-14
35.875 -1.0541520220215582e-16 4.209096502676164e-14
36.75 2.947605837971576e-14 -4.190226178472973e-14
37.625 -3.1384728004041974e-14 2.6889109826721258e-14
38.5 3.954684248730943e-14 -2.311457108806342e-14
39.375 -3.5388139052762376e-14 1.684484758574739e-15
40.25 2.0740869318867735e-14 -1.1596595388744233e-14
41.125 -4.2927276856543023e-14 1.022372077931907e-14
42.0 3.4116936027075884e-14 1.9539925233403008e-14
42.875 -1.1344658532267708e-14 -1.736570724954727e-14
43.75 1.5438135918590725e-15 1.1808576804457196e-14
44.625 8.158194299240703e-15 3.6254855725837274e-15
45.5 1.1507453919215453e-15 -1.979386901219983e-14
46.375 -1.5413715834698975e-14 2.4640793109040578e-14
47.25 3.16663377579868e-14 -1.8370460498715214e-14
48.125 -3.6606412645356186e-14 3.0315469339801254e-15
49.0 3.352638388750713e-14 1.2236967857801317e-14
49.875 -1.1391064663386694e-14 -2.295935330097029e-14
50.75 -8.438420404959607e-15 -2.3191315769599857e-15
51.625 -1.4233184733235802e-14 2.94714733890871e-14
52.5 4.970670760740601e-14 -1.8117471517782143e-14
53.375 -5.341565709794872e-14 -2.129018690771683e-14
54.25 2.0697218156883105e-14 3.0111561296193996e-14
55.125 -2.311428106585041e-14 -1.1436360753209995e-14
