freq real imag
0.0 1.354472090042691e-14 -0.08930098615768103
3.5 0.0087932294298817 -0.08930120479792969
7.0 0.017758732581672376 -0.08930187793643968
10.5 0.02708255362873513 -0.08930306017428735
14.0 0.03698068462455162 -0.08930485323293258
17.5 0.04772080707245252 -0.08930742559467886
21.0 0.059654630291561095 -0.08931104898699882
24.5 0.07326989301450837 -0.08931616651964924
28.0 0.08927985230127691 -16.089323525270764
31.5 0.1087882297183459 -0.08933445125245698
35.0 0.13361804489955653 -0.0893514704049656
38.5 0.1670341412747064 -0.08937987795501667
42.0 0.21554881908109846 -0.08943235872661015
45.5 0.29433908153708166 -0.08954594438940094
49.0 0.4489258682023498 -0.08987075173055209
52.5 0.9072022435769735 -0.09162634054404836
56.0 4.773959005888173e-15 2.7753217011912388
59.5 -0.9072022435769854 -0.0916263405440586
63.0 -0.44892586820234015 -0.0898707517305456
66.5 -0.29433908153708255 -0.08954594438938446
70.0 -0.21554881908109147 -0.08943235872661559
73.5 -0.16703414127472266 -0.08937987795501157
77.0 -0.13361804489954887 -0.08935147040495539
80.5 -0.10878822971833108 -0.08933445125241013
84.0 -0.08927985230140209 15.910676474729229
87.5 -0.07326989301450743 -0.08931616651967422
91.0 -0.05965463029153839 -0.08931104898698061
94.5 -0.0477208070724372 -0.08930742559468996
98.0 -0.03698068462456172 -0.08930485323294013
101.5 -0.027082553628751893 -0.08930306017427747
105.0 -0.01775873258165206 -0.0893018779364208
108.5 -0.008793229429873817 -0.08930120479793294
