freq real imag
0.0 5.26380288265164 3.185440084318121
21.0 11.884878266906286 -2.0418354818984676
42.0 -7.938733596182582 10.70938897113094
63.0 5.299331286891311 -8.59732330518236
84.0 0.7818725728071466 -0.7058910969067095
105.0 0.27494557393886976 0.12709866267102166
126.0 0.07658661922580545 0.36190106864518146
147.0 -0.04075137815562113 0.4407910926572785
168.0 -0.12528770655134513 0.4621970617053177
189.0 -0.19306104809397473 0.45813088640924926
210.0 -0.2510650703350866 0.4412708051023405
231.0 -0.3029856615947336 0.41723346370848335
252.0 -0.35106989686827256 0.3886362770878282
273.0 -0.39686620985176196 0.3566642419824174
294.0 -0.44156854244385835 0.3217366309001001
315.0 -0.48620343621857653 0.28380322492569166
336.0 -0.5317520750827586 0.2424675095817499
357.0 -0.5792498982532268 0.19701419171086593
378.0 -0.6298899583766772 0.14636747317584767
399.0 -0.6851542717648922 0.08897805281612817
420.0 -0.7470063144850694 0.02261087330337508
441.0 -0.8182021300766592 -0.05603349109126726
462.0 -0.9028336111704488 -0.15200937598565578
483.0 -1.0073512358561802 -0.2734566713753488
504.0 -1.1426614858797737 -0.43437841046276715
525.0 -1.3289204787329068 -0.6611106279805405
546.0 -1.6082504808765106 -1.0099181844243148
567.0 -2.0870493887926003 -1.6276570139647237
588.0 -3.1478979765915676 -3.0719165006911595
609.0 -9.052754425173074 -12.175721960893775
630.0 -2.1606518203916094 2.8272775111497124
651.0 13.375800895378774 9.328244037875418
