freq real imag
0.0 1.354472090042691e-14 2.860478746963952e-14
3.5 8.104628079763643e-15 3.1002977962657496e-14
7.0 -3.3084646133829665e-14 2.042810365310288e-14
10.5 4.218847493575595e-15 -5.10702591327572e-15
14.0 -5.440092820663267e-15 2.19824158875781e-14
17.5 -3.26405569239796e-14 1.4876988529977098e-14
21.0 -4.385380947269368e-15 -1.5765166949677223e-14
24.5 1.2573275753879898e-14 1.6653345369377348e-14
28.0 -2.4072356351521213e-14 -15.999999999999973
31.5 -7.244205235679146e-15 -2.220446049250313e-16
35.0 -2.8033131371785203e-14 2.042810365310288e-14
38.5 -3.9190872769268026e-14 -5.995204332975845e-15
42.0 -3.9968028886505635e-15 -1.7763568394002505e-15
45.5 -2.55351295663786e-14 -2.120525977034049e-14
49.0 -4.196643033083092e-14 -8.1601392309949e-15
52.5 -5.051514762044462e-14 -1.1574075031717257e-14
56.0 1.3322676295501878e-14 -1.2450824941688214e-13
59.5 3.985700658404312e-14 -1.4516166046973922e-14
63.0 5.229150445984487e-14 3.83026943495679e-15
66.5 1.9539925233402755e-14 -4.440892098500626e-15
70.0 1.1324274851176597e-14 -7.549516567451064e-15
73.5 2.3869795029440866e-14 4.440892098500626e-16
77.0 3.36952687973735e-14 3.375077994860476e-14
80.5 1.7208456881689926e-14 4.796163466380676e-14
84.0 -1.0239532794399691e-13 16.00000000000003
87.5 -9.325873406851315e-15 -1.3211653993039363e-14
91.0 2.398081733190338e-14 -4.440892098500626e-16
94.5 4.141131881851834e-14 4.884981308350689e-15
98.0 -1.1657341758564144e-14 1.5432100042289676e-14
101.5 -2.0761170560490427e-14 8.548717289613705e-15
105.0 4.8627768478581856e-14 3.902433931557425e-14
108.5 3.6637359812630166e-15 1.9789725413943415e-14
