freq real imag
0.0 -3.3109506952464687e-13 5.5074328669424135
1.75 -1.7896467231126396 -0.19436526349547556
3.5 -0.8839712116830793 -0.18039061579799698
5.25 -0.5793801690495592 -0.17781075423872406
7.0 -0.4242381023684999 -0.17690898666473004
8.75 -0.32873458722240134 -0.17649240920679807
10.5 -0.26296160555509934 -0.17626693724667436
12.25 -0.2140924728203941 -0.17613186191958757
14.0 -0.17569847107260006 -0.17604514859153664
15.75 -0.14419052713155525 -0.17598674747024723
17.5 -0.11739591983595288 -0.1759461338205374
19.25 -0.09391067810233805 -0.17591737819783002
21.0 -0.07277479210654159 -0.17589696379665687
22.75 -0.05329602545147799 -0.1758827340517916
24.5 -0.034947542420648514 -0.17587335182094138
26.25 -0.017304249639679706 -0.17586800980896744
28.0 5.666072833955767e-14 -0.17586627468659613
29.75 0.017304249639783442 -0.17586800980898526
31.5 0.03494754242071291 -0.17587335182080455
33.25 0.053296025451453566 -0.17588273405180543
35.0 0.07277479210663285 -0.1758969637966113
36.75 0.09391067810236936 -0.17591737819772893
38.5 0.11739591983592002 -0.17594613382049207
40.25 0.14419052713158845 -0.1759867474702762
42.0 0.17569847107270983 -0.1760451485914987
43.75 0.21409247282042224 -0.17613186191952382
45.5 0.2629616055551237 -0.17626693724654538
47.25 0.3287345872223835 -0.17649240920665493
49.0 0.42423810236847953 -0.17690898666469662
50.75 0.5793801690495388 -0.1778107542386046
52.5 0.8839712116830587 -0.18039061579783877
54.25 1.789646723112606 -0.19436526349523187
