freq real imag
0.0 2.860478746963952e-14 -3.3109506952464687e-13
0.875 -2.1944771359969384e-13 1.476856300939477e-13
1.75 1.3663059551845816e-13 -2.2142769377783134e-14
2.625 -1.1279070234151026e-13 1.8719366629216134e-14
3.5 8.416765650953002e-14 2.0209184723091077e-14
4.375 -4.302582827078673e-14 -2.1468351499675014e-15
5.25 5.6530820041630037e-14 -1.7690654199555837e-14
6.125 -6.37998588811754e-14 -3.6676733625743e-15
7.0 3.7797976701701954e-14 1.140805214492696e-15
7.875 -5.898381308465171e-14 2.2166570034892032e-14
8.75 7.802625879408094e-14 1.2592195723337605e-14
9.625 -5.3660299193592675e-14 -2.4522872649191356e-14
10.5 5.333985176523405e-14 2.6904578601306045e-14
11.375 -3.118078387542481e-14 -3.1437299930858535e-14
12.25 3.901365990577082e-14 4.011892323824365e-15
13.125 -6.750618052676982e-14 -2.9693031718584545e-14
14.0 4.1405441423911975e-14 6.094536665731548e-14
14.875 -1.0330729321332424e-14 -5.5285864599746646e-14
15.75 -5.692626247536663e-15 2.952112275012305e-14
16.625 -1.2319118420436501e-14 -6.752632033844325e-15
17.5 2.916075010374408e-14 1.2687583167408676e-14
18.375 -4.230231803240068e-14 -1.990984164104018e-14
19.25 4.382369655419538e-14 4.8985037341494174e-14
20.125 -1.864518466705589e-14 -5.4673055825857997e-14
21.0 1.65374646295261e-14 5.322150215983232e-14
21.875 6.842379796900146e-15 -5.766274291385578e-14
22.75 -1.3434793720777556e-14 2.0197246034375156e-14
23.625 -3.3851911166726307e-14 -1.0084197643504298e-14
24.5 6.097272670543696e-14 6.577575532198222e-14
25.375 -1.473441932806555e-14 -1.1242473417500376e-13
26.25 -1.8132142043376167e-14 1.0642188234903751e-13
27.125 6.508437481249367e-14 -1.3563683816414168e-13
28.0 -1.6554753476232361e-13 5.720957493927848e-14
28.875 8.844021543777428e-14 6.653555452602137e-14
29.75 6.965442352476149e-16 -4.804323442881305e-15
30.625 4.951652105239878e-14 -3.6986953836325134e-14
31.5 -7.467563154494062e-14 -2.5972831427370347e-15
32.375 5.3557405077919983e-14 4.0560774955208754e-14
33.25 -1.1962160647778405e-15 -4.17123499982146e-14
34.125 -1.62941974782657e-14 -1.1038093014858784e-14
35.0 -2.6041367429887414e-14 3.830520133078382e-14
35.875 6.063073449161606e-14 -1.2476675596893537e-14
36.75 -5.624989995920995e-14 -2.2393282822951437e-14
37.625 3.780669985508005e-14 3.8363996189723017e-14
38.5 -1.2728478704498507e-14 -4.997383040796485e-14
39.375 -2.1384535873750597e-14 3.0319991777493015e-14
40.25 1.4836900177659976e-14 -2.816341957488513e-15
41.125 -2.2372826755891662e-14 -2.13486696388485e-15
42.0 1.2251419836566254e-14 4.6368355863641765e-14
42.875 3.879581474495508e-14 -3.5714080435864075e-14
43.75 -2.5661269509454848e-14 1.4276655536422683e-14
44.625 4.296446374724949e-14 -3.5970008657515365e-14
45.5 -7.198297538551183e-14 5.959964197184613e-15
46.375 6.288737646793437e-14 1.5531636294549283e-14
47.25 -6.47303815348096e-14 -3.744460253336533e-14
48.125 2.5408947373275872e-14 6.180452961422842e-14
49.0 7.965375043606832e-15 -2.0148610815214027e-14
49.875 2.94494409168181e-14 -1.5235962000156543e-14
50.75 -6.728837202355034e-14 -1.1571365371555905e-14
51.625 5.826411692663738e-14 4.1557822972356593e-14
52.5 -5.257842041990643e-14 -4.761499440209896e-14
53.375 3.8084858335844274e-14 5.084483681944879e-14
54.25 -8.582181606538069e-14 -1.2728426238473225e-14
55.125 1.8489707178063426e-13 1.5936355040658766e-13
