freq real imag
0.0 5.26380288265164 5.26380288265164
21.0 18.31537934102944 6.9452998212556425
42.0 -8.990748438277775 -1.108636978296477
63.0 -3.6659108969965994 -0.08751224128521673
84.0 -2.36602540378444 -3.1086244689504383e-15
105.0 -1.783429745744721 -0.0286740691090277
126.0 -1.451741557360113 -0.07992230429059233
147.0 -1.2357867887631622 -0.13388506812538647
168.0 -1.0822623322995866 -0.18568686013153513
189.0 -0.9659999208673528 -0.23441236308279112
210.0 -0.873589431296757 -0.2803092502087762
231.0 -0.7972273732355544 -0.3239604184358349
252.0 -0.732050807568893 -0.366025403784442
273.0 -0.6748533353914555 -0.4071671462251717
294.0 -0.6234138292723853 -0.44804467154815153
315.0 -0.5761211838433231 -0.4893321506284919
336.0 -0.5317520750827619 -0.53175207508277
357.0 -0.48933215062848184 -0.5761211838433187
378.0 -0.44804467154813266 -0.6234138292723979
399.0 -0.40716714622519273 -0.6748533353914632
420.0 -0.3660254037844333 -0.7320508075688839
441.0 -0.32396041843583184 -0.7972273732355591
462.0 -0.2803092502087605 -0.873589431296758
483.0 -0.23441236308277358 -0.9659999208673747
504.0 -0.18568686013151958 -1.0822623322996041
525.0 -0.1338850681253645 -1.235786788763186
546.0 -0.07992230429059721 -1.4517415573600603
567.0 -0.028674069108998834 -1.7834297457447221
588.0 1.2212453270876722e-14 -2.3660254037844304
609.0 -0.08751224128517254 -3.6659108969965946
630.0 -1.108636978296336 -8.990748438277684
651.0 6.945299821255549 18.315379341029512
